name,address,Primary_Cuisine,website,Ranking_Description,Customer_Rating
Open House,"Kunnumpuram, Ayurveda College, Near Old Gpo Trivandrum, Thiruvananthapuram (Trivandrum) 695001 India",Indian,,#88 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Neera Bar,"Taj Kovalam Kerala G. V. Raja Vattappara Rd, Kovalam, Thiruvananthapuram (Trivandrum) 695 527 India",Bar,http://www.vivantabytaj.com/Kovalam-Kerala/Dining/Neera-Bar.html,#106 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
The Gourmet House,"Pattom junction, Thiruvananthapuram (Trivandrum) 695004 India",Chinese,http://www.thegourmethouse.in/,#52 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.5
"Barbeque Nation - Lulu Mall, Thiruvananthapuram","TC 91, Akkulam Bridge, Anayara Post 2nd Floor, Lulu International Shopping Mall, Thiruvananthapuram (Trivandrum) 695008 India",Italian,,#49 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Kethel's Chicken,"Rahmaniya Hotel, Chalai Bazarchalai Chalai bazaar, Thiruvananthapuram (Trivandrum) 695001 India",Indian,http://www.kethelschicken.com,#33 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Shahi Durbar,"Aristo Jn, Thampanoor Thampanoor, Thiruvananthapuram (Trivandrum) 695001 India",Indian,,#115 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Hotel Mubarak Restaurant,"Ruby Compound, Chalai, Thiruvananthapuram (Trivandrum) 695036 India",Indian,,#72 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Samudra Floating Restaurant,"Golden Sand Beach Poovar, Thiruvananthapuram (Trivandrum) 695513 India",Indian,http://www.samudrafloatingrestaurant.com/,#81 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
South Park Inn Restaurant (Regency),"M G Road, Thiruvananthapuram (Trivandrum) 695034 India",Indian,http://thesouthpark.com/dining.php,#22 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Ktdc Samudra,"Ktdc Gv Raja Road Kovalam, Samudra Beach, Thiruvananthapuram (Trivandrum) 695527 India",Chinese,http://www.ktdc.com,#50 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Windsor Rajadhani,"Toll Junction, Near Kowdiar Palace, Thiruvananthapuram (Trivandrum) 695003 India",Indian,http://www.windsorrajadhani.com/dine_and_wine.html,#53 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Konkan Cafe - Vivanta Thiruvananthapuram,"Extra Police Rd Vivanta, Palayam, Thiruvananthapuram (Trivandrum) 695033 India",Indian,https://www.vivantahotels.com/en-in/vivanta-thiruvananthapuram/restaurants/konkan-cafe/,#31 of 907 places to eat in Thiruvananthapuram (Trivandrum),5.0
Velvet Dawn,"Kurups Ln, Sasthamangalam, Thiruvananthapuram (Trivandrum) 695010 India",Italian,http://velvetdawn.org,#130 of 907 places to eat in Thiruvananthapuram (Trivandrum),5.0
Sharma's Punjabi Dhaba,"Aristo Junction Thampanoor, Thiruvananthapuram (Trivandrum) 695001 India",Indian,,#62 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Imperial Kitchen Venpalavattom,"Ground Floor, Grand Avenue By Favourite Homes, Venpalavattam Near Nh Lulu Mall Trivandrum,, Thiruvananthapuram (Trivandrum) 695029 India",Indian,,#213 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Le Arabia Restaurant,"Vazhuthacaud Road Near Eden Park, Thiruvananthapuram (Trivandrum) 695014 India",Indian,https://www.facebook.com/learabia,#39 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Pankayam,"Medical College-pattom Road, Opposite Canara Bank, Thiruvananthapuram (Trivandrum) 695011 India",Chinese,http://www.pankayam.com,#234 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.5
City Queen Restaurant,"Manjalikulam Road Thampanoor In Hotel Highland , Thampanoor, Thiruvananthapuram (Trivandrum) 695001 India",Chinese,http://Www.highland-hotels.com,#64 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.5
Naples Pizza City,"Naples pizza city ground floor DDS, paradise building near cafe mojo, Thiruvananthapuram (Trivandrum) 695003 India",Italian,https://www.facebook.com/naplespizzacity/,#36 of 907 places to eat in Thiruvananthapuram (Trivandrum),5.0
The Olive Restaurant,"No-O-1, Jawahar Nagar Rd, Kowdiar, Thiruvananthapuram (Trivandrum) 695003 India",Chinese,,#74 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
HUDDLES CAFE,"First floor, Capital Building, Nalantha lane, Nanthancode, Thiruvananthapuram (Trivandrum) 695011 India",Italian,http://huddlescafe.com,#51 of 907 places to eat in Thiruvananthapuram (Trivandrum),5.0
Old Coffee House,"Veli Sanghumugham Rd, Vallakkadavu, Thiruvananthapuram (Trivandrum) 695008 India",Indian,http://www.oldcoffeehouse.in/,#87 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Rajila Hotel Restaurant,"Tc 35/648 Pd Nagar, Thiruvananthapuram (Trivandrum) 695008 India",Indian,,#60 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Steampot Restaurant,"Ground Floor Pottakuzhi Tc 2/19922, Skyways Building Next to Vydyuthi Bhavan Building, Pattom, Thiruvananthapuram (Trivandrum) 695004 India",Indian,http://www.steampot.in,#44 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Azad Restaurant,"Over Bridge, Thampanoor, Thiruvananthapuram (Trivandrum) 695001 India",Indian,http://www.azadhotels.com,#98 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.5
Vazhiyorakkada,"Kuravankuzhi, Kilimanoor, Thiruvananthapuram (Trivandrum) 691536 India",Indian,http://www.vazhiyorakkada.com,#76 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Bab Arabia,"Pattom- Kowdiar Road Next to SFS Mayfair Appartment, K, Thiruvananthapuram (Trivandrum) 695004 India",Turkish,https://www.facebook.com/BabArabiaTrivandrum/,#110 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Supreme Oriental Spice,"Musaliar Buildings, Kuravankonam Kaudiar Po, Thiruvananthapuram (Trivandrum) 695003 India",Chinese,http://www.orientalspice.in,#36 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Zam Zam Restaurant,"YMR Junction Nandancode, Thiruvananthapuram (Trivandrum) 695003 India",Indian,http://www.zamzamrestaurants.com,#33 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Aryaas Park Veg Restaurant,"Station Road Thampanoor Near Sreekumar Theatre, Thiruvananthapuram (Trivandrum) 695001 India",Indian,http://aryaaspark.com/,#43 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Punjabi Dhaba,"Beach Road Kovalam, Thiruvananthapuram (Trivandrum) 695527 India",Indian,,#102 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
German Bakery,"Lighthouse Beach Kovalam Kottapuram, Thiruvananthapuram (Trivandrum) 695521 India",German,http://Www.thebeachhotel-kovalam.com,#40 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.5
Pathayam Naturopathic Food Restaurant,"Tutor's Lane Statue, Thiruvananthapuram (Trivandrum) 695001 India",Indian,http://pathayam.co.in,#29 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Hotel Annapoorna,"Pazhavangadi, Thiruvananthapuram (Trivandrum) India",Indian,,#40 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Tharavadu,"Near Law College Junction, PMG, Thiruvananthapuram (Trivandrum) India",Indian,http://www.hindu.com/mp/2009/08/22/stories/2009082253120700.htm,#78 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Turf Cafe,"HAANS Apartments, Mezzanine Floor Haans Apartments, Mukkolakkal, Kazhakutam, Thiruvananthapuram (Trivandrum) 695582 India",Italian,http://www.turfcafe.in,#44 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
The Yellow Chilli,"Aswathy Complex,near Narmada Shopping Complex,pipeline Road Near Narmada Shopping Complex, Thiruvananthapuram (Trivandrum) 695005 India",Indian,http://www.theyellowchilli.com/,#13 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Ajwa,"Women's College Panavila Road Panavila, Thycaud, Thiruvananthapuram (Trivandrum) 695034 India",Indian,http://www.ajwabiriyani.in/restaurant.php,#20 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Cafe Hive,"Railway Station Road Apollo Dimora Hotel, Opposite Central Railway Station, Thampanoor, Thiruvananthapuram (Trivandrum) 695001 India",Chinese,http://www.apollodimora.com/restaurant#,#30 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Kaffeehaus Trivandrum,"MP Appan Road, Vazhuthacaud, Trivandrum, Thiruvananthapuram (Trivandrum) 695014 India",Italian,http://www.kaffeehaus.in,#24 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Imperial Kitchen,"Keston Road Near Devaswom Board Junction, Kowdiar, Thiruvananthapuram (Trivandrum) 695003 India",Indian,http://imperialkitchentvm.in/,#17 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Saurashtra Hotel,"Power House Road Near Parthas, Thiruvananthapuram (Trivandrum) 695023 India",Indian,https://www.facebook.com/pages/Saurashtra-Hotel-Gujarati-Hotel/131450900358801,#54 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Indian Coffee House,"M.L.A. Hostel Compound Palayam, Thiruvananthapuram (Trivandrum) 695034 India",Indian,http://www.indiancoffeehouse.com/branches.php?distid=3,#12 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Salt Water Seafood Restaurant,"Adimalathura Beach,, Thiruvananthapuram (Trivandrum) 695501 India",Indian,https://salt-water-sea-food-restaurant.business.site/?utm_source=gmb&utm_medium=referral,#15 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.5
Cafe Jade,"Manorama Road Thampanoor Manorama Road, Thiruvananthapuram (Trivandrum) 695001 India",Indian,http://www.hycinthhotels.com,#10 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Zam Zam Restaurant,"VJT University Road Opposite MLA Hostel, Palayam, Thiruvananthapuram (Trivandrum) 695034 India",Indian,http://zamzamrestaurants.com,#8 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Catamaran Restaurant,"Vp/439 No 5 Beach Road Itdc Road Turtle On The Beach Hotel, Kovalam, Thiruvananthapuram (Trivandrum) 695527 India",Chinese,http://www.turtleonthebeach.com/,#14 of 727 Restaurants in Thiruvananthapuram (Trivandrum),5.0
Mynt,"Vivanta Thiruvananthapuram, Extra Police Road, Nandavanam Palayam, Thiruvananthapuram (Trivandrum) 695033 India",Chinese,http://www.vivantahotels.com/en-in/vivanta-thiruvananthapuram/restaurants/mynt,#4 of 907 places to eat in Thiruvananthapuram (Trivandrum),5.0
Ariya Nivaas,"Manorama Road Aristo Junction, Near Thampanoor, Thiruvananthapuram (Trivandrum) 695014 India",Indian,https://www.facebook.com/ariyanivaas/,#7 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
BLND Restobar,"SFS Cyber Palms Rd Near Nexa Motors, Karimanal, Thiruvananthapuram (Trivandrum) 695583 India",Italian,https://www.facebook.com/blnd.restobar/,#1 of 907 places to eat in Thiruvananthapuram (Trivandrum),5.0
Baker's Arch,"8/1400-1, Vikramapuram Hills Kuravankonam, Kowdiar ' P.O. T, Thiruvananthapuram (Trivandrum) 695003 India",Cafe,http://www.bakersach.in,#16 of 907 places to eat in Thiruvananthapuram (Trivandrum),5.0
Mothers Veg Plaza,"Bakery Junction Near Russian Cultural Center, Thiruvananthapuram (Trivandrum) 695034 India",Indian,http://www.mothersvegplaza.in,#9 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Supreme Upper Crust,"Kuravankonam, Thiruvananthapuram (Trivandrum) 695003 India",Italian,http://www.supremeuppercrust.com/,#39 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Cafe Sarwaa,"Bal Mahal, Opposite All India Radio, Vazhuthacaud-Poojappura road Vazhuthacaud to DPI road, Diagonally opposite All India Radio, Thiruvananthapuram (Trivandrum) 695014 India",French,http://www.cafesarwaa.com,#21 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Garden Grille & Bar Restaurant,"Punnen Road, Statue Hilton Garden Inn Trivandrum, Thiruvananthapuram (Trivandrum) 695039 India",Italian,http://www.trivandrum.hgi.com,#5 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Surya Fast Food,"Killipalam Junction, Trivandrum Chalai, Thiruvananthapuram (Trivandrum) 695002 India",,,#204 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Savaari Restaurant,"Statue Ambujavilasam Road, Thiruvananthapuram (Trivandrum) 695001 India",Indian,,#264 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.5
Paragon Restaurant,"TC-14/4631 Ulloor Road, Thiruvananthapuram (Trivandrum) 695004 India",Indian,http://paragonrestaurant.net/,#3 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Haji Ali Fresh Fruit Juices,"Juma Masjid Building Mahathma Gandhi Rd Palayam Main Road, Thiruvananthapuram (Trivandrum) 695034 India",,,#271 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Villa Maya,"No-120 Palayam Airport Road, Thiruvananthapuram (Trivandrum) 695008 India",Indian,http://www.villamaya.in/cuisine.php,#6 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.5
Spice Route Puttu Kada,"Trivandrum Hotel premises, YMCA Road, Thiruvananthapuram (Trivandrum) 695001 India",Fast Food,http://www.facebook.com/PuttuKadaOnline,#252 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
O Cafe,"O by Tamara, NH By Pass Venpalavattom, Anayara, Thiruvananthapuram (Trivandrum) 695029 India",Indian,http://www.obytamara.com,#2 of 907 places to eat in Thiruvananthapuram (Trivandrum),5.0
New Mubarak,"Behind Trivandrum Hotel, Statue, Thiruvananthapuram (Trivandrum) India",Indian,,#176 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Chicken Corner Family Restaurant,"Mahadeva Complex, Kazhakuttom Opposite Aswathy Studio, Thiruvananthapuram (Trivandrum) 695582 India",Chinese,,#434 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.0
Boatman's Cafe,"Black Beach, Thiruvambadi, North Cliff Varkala, Thiruvananthapuram (Trivandrum) 695141 India",Chinese,,,
Hotel Anugraha Restaurant,"Karamana Opposite Govt School, Thiruvananthapuram (Trivandrum) 695002 India",Indian,,#390 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Kanakam Restaurant,"Kazhakuttam OppositeKseb Office of Executive Engineer, Thiruvananthapuram (Trivandrum) 695582 India",Indian,,#424 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.0
Take Away Ramapuram Biriyani,"Four Squre Building, Toll Junction, Kamaleswaram, Thiruvananthapuram (Trivandrum) 695009 India",Chinese,,#326 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Cfc Restaurant,"Kazhakuttom Opposite Csi Hospital, Near Car Palace, Thiruvananthapuram (Trivandrum) 695582 India",Chinese,,#426 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.0
Hotel Tasty Restaurant,"Oolanpara Hotel Tasty, Peroorkada, Thiruvananthapuram (Trivandrum) 695005 India",Indian,,#416 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.0
Arabian Delite,"Tc 1/916 - 3 Mahatma Gandhi Road, Thiruvananthapuram (Trivandrum) 695011 India",Chinese,,#301 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Hotel Sree Govind Restaurant,"Vazhuthacaud Road, Thiruvananthapuram (Trivandrum) 695014 India",Indian,,#385 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Siya Fast Food,"Ulloor Road Ulloor, Thiruvananthapuram (Trivandrum) 695011 India",Fast Food,,#409 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.0
Food Factory,"Chenkottukonam, Thiruvananthapuram (Trivandrum) 695581 India",Chinese,http://website-553543096704175238149-restaurant.business.site/,#424 of 727 Restaurants in Thiruvananthapuram (Trivandrum),1.0
Big Little Kitchen,"Pattom PO, Upper Meridian Rd, Marappalam, Thiruvananthapuram (Trivandrum) 695004 India",Italian,http://www.biglittlek.com,,
Pizza Hut,"Unit No 121, Lulu Mall, Akkulam, Anayara, Thiruvananthapuram (Trivandrum) 695029 India",,https://restaurants.pizzahut.co.in/pizza-hut-pizza-hut-lulu-mall-pizza-restaurant-anayara-thiruvananthapuram-130357/home?utm_source=locator&utm_medium=bing,#219 of 907 places to eat in Thiruvananthapuram (Trivandrum),5.0
Bikash Babu Sweets,"Pandits Colony Extension PMG TTC Rd, Opposite Nirmala Bhavan School, Thiruvananthapuram (Trivandrum) 695003 India",,https://www.bikashbabusweets.com/login/,#286 of 907 places to eat in Thiruvananthapuram (Trivandrum),5.0
Burger King,"No I20, 2nd Floor, Lulu Mall, Tc 91/270/2, Kazhakootam Kovalam Bypass Rd, Thiruvananthapuram (Trivandrum) 695021 India",,https://stores.burgerking.in/burger-king-fast-food-restaurant-kazhakootam-kovalam-bypass-rd-thiruvananthapuram-179178/home?utm_source=locator&utm_medium=bing,,
Hotel City Palace,"Pottakkuzhi Rd Veerabhadra Gardens, Thiruvananthapuram (Trivandrum) 695004 India",Indian,,,
Labelle Ice Cream Parlour,"Kattakada Road, Thiruvananthapuram (Trivandrum) 695572 India",Cafe,,#284 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Sachin Restaurant,"Sachin Restaurant, Elamkulam Road Srerkaryam, Thiruvananthapuram (Trivandrum) 695017 India",Indian,,#388 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Kannan Fast Food,"Thakaraparambu Road Thiruvananthapuram Fort, Thiruvananthapuram (Trivandrum) 695023 India",,,#397 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Hotel Manasi Restaurant,"Edapazhinji Hotel Manasi, Shasthamngalam, Thiruvananthapuram (Trivandrum) 695010 India",Fast Food,,#446 of 907 places to eat in Thiruvananthapuram (Trivandrum),2.0
Dubai International,"Press Road, Thiruvananthapuram (Trivandrum) 695001 India",Chinese,http://Www.hoteldi.com,#411 of 727 Restaurants in Thiruvananthapuram (Trivandrum),2.0
Muppilan’s Kitchen,"Bund Road Killipalam, Thiruvananthapuram (Trivandrum) 695002 India",,,#157 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.5
Royal Bakers,"Kaniyapuram Near Bus Depot, Thiruvananthapuram (Trivandrum) 695301 India",Indian,,#254 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.5
Attukal Restaurant,"Cotton Hill Road Near Cotton Hill Girls High School, Thiruvananthapuram (Trivandrum) 695010 India",Healthy,,#372 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Best Bakery,"Best Bekary, Devasom Road, Kochulloor Ulloor, Thiruvananthapuram (Trivandrum) 695011 India",Fast Food,,#354 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Curry Leaf Restaurant,"Kovalam Near Leela Hotel, Thiruvananthapuram (Trivandrum) 695527 India",Indian,,,
Jin Curry Routes Restaurant,"C R R A Lane Near Pattom, Thiruvananthapuram (Trivandrum) 695004 India",,,#356 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
D & G Hotel Restaurant,"Pettah Tc 30/822/1, Opposite Kanjiravilakam Temple, Thiruvananthapuram (Trivandrum) 695024 India",Indian,,#373 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Nitro Scoops,"TC 15/55, Vellayambalam - Sasthamangalam Rd, Thiruvananthapuram (Trivandrum) 695010 India",Indian,https://www.facebook.com/NitroScoops.in/,#284 of 727 Restaurants in Thiruvananthapuram (Trivandrum),5.0
Grand duke multi cuisine,"Eanchackal -Chackai Opposite to the International Airport, Thiruvananthapuram (Trivandrum) 695024 India",Italian,http://www.spskingsway.com,#374 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Cake World Vithura,"Opp Naaz Auditorium Nmarket Jn. Vithura, Thiruvananthapuram (Trivandrum) 695551 India",,,,
"Sip a coffee, EVA'S kitchen","Kuravankonam, kowdiar -pattaom road, opposite federal bank, Thiruvananthapuram (Trivandrum) India",Cafe,,#331 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Amma Veedu,"Vazhuthacaud - Poojappura Rd, Near Pwd Rest House Near Pwd Rest House, Thiruvananthapuram (Trivandrum) India",Indian,,,
The Bread Fort,"Bakery Junction, Thiruvananthapuram (Trivandrum) 695034 India",,https://breadfort.in/,,
Athens Hotel Restaurant,"Aristo Jn Muttakkada Road Aristo Thampanoor Road, Thiruvananthapuram (Trivandrum) 695001 India",,,#458 of 907 places to eat in Thiruvananthapuram (Trivandrum),2.5
Garden Cafe,"Hilton Garden Inn Punnen Road Statue Palayam, Thiruvananthapuram (Trivandrum) 695039 India",,,#231 of 907 places to eat in Thiruvananthapuram (Trivandrum),5.0
Changadam,"Changadam Restaurant, Aryanad, Thiruvananthapuram (Trivandrum) 695542 India",Indian,,,
Paaykappal,"Yamuna Building, Navarangam Lane, Kumarapuram Road, Opp Men's Hostel, Near Medical College, Thiruvananthapuram (Trivandrum) 695011 India",Indian,,,
Prime Square,"Central Station Rd, Thiruvananthapuram (Trivandrum) India",Steakhouse,,#380 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Hotel Moon City,"Medical College Ulloor Rd, Thiruvananthapuram (Trivandrum) 695011 India",,,#362 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
K.R.Bakes,"NH 66, Near Volkswagen Showroom, Thiruvananthapuram (Trivandrum) 695021 India",Chinese,,#400 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.0
S. P. R,"S. P. R Restaurant Balaramapuram Junction, Thiruvananthapuram (Trivandrum) 695501 India",,,#346 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
L'agora Cuisine,"Near Levis Showroom,pattom Near Stmarys Hss Pattom, Thiruvananthapuram (Trivandrum) 695004 India",French,,,
Muhaba Restaurant,"Y M C A Road, Thiruvananthapuram (Trivandrum) 695001 India",Chinese,http://Www.hoteltowntower.com,#414 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.0
Brewberry,"TC 9/1067-1, Krishna Tower Opposite SBT, Thiruvananthapuram (Trivandrum) 695010 India",Cafe,http://www.brewberrys.com,#447 of 907 places to eat in Thiruvananthapuram (Trivandrum),2.0
Chefzigrand Restaurant,"Techno Park Avenue, Thiruvananthapuram (Trivandrum) India",Chinese,http://www.chefzigrand.com,#406 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.0
Bismi Family Restaurant,"Manacaud Junction Near Manacaudu Govt School, Thiruvananthapuram (Trivandrum) 695009 India",Chinese,,#427 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.0
Vanchiyoor,"TC 82/1921,vanchiyoor Near District Court Main Gate, Thiruvananthapuram (Trivandrum) 695035 India",Chinese,https://www.umamiz.in,,
Bismi Chicken Corner,"Peroorkada Opposite Govt. Hslps, Thiruvananthapuram (Trivandrum) 695005 India",,,#321 of 907 places to eat in Thiruvananthapuram (Trivandrum),5.0
Akash Restaurant,"Madhava Heights, Peroorkada Main Road Opposite Thankamma Stadium, Peroorkada, Thiruvananthapuram (Trivandrum) 695005 India",Indian,,#345 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.5
Siyad Family Restaurant,"Karamana, Kunjalumood, Thiruvananthapuram (Trivandrum) 695012 India",Chinese,,#404 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.0
New Ganesh Tiffin Center,"Kazhakuttam, Thiruvananthapuram (Trivandrum) 695584 India",Indian,,#354 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Al Baha,"Sreekariyam - Pothencode Rd Sreekariyam Junction, Thiruvananthapuram (Trivandrum) 695017 India",,,#347 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Gandharva Restaurant,"Russian Cultural Centre, Vanross Junction, Opp. Road, East Fort Hotel Indrapuri, Thiruvananthapuram (Trivandrum) 695001 India",Chinese,http://www.rajadhanihotels.com/restaurant/Hotel-Indrapuri,#334 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Sunset Beach Hotel and Restaurant,"Light House Beach Road, Thiruvananthapuram (Trivandrum) India",Chinese,https://sunset-beach-hotel-and-restaurant.business.site/,#278 of 907 places to eat in Thiruvananthapuram (Trivandrum),5.0
Thapovan Heritage Home Restaurant,"Nellikunnu, Mulloor P.O,, Thiruvananthapuram (Trivandrum) 695521 India",Chinese,http://www.thapovan.com/,#396 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Nadhiya Family Restaurant,"Kazhakuttam-Vetturoad Route Kazhakuttam, Thiruvananthapuram (Trivandrum) 695584 India",Indian,,#405 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.0
Mehfil,"284 Amc Xvi, Thiruvananthapuram (Trivandrum) 695101 India",Chinese,,#305 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.5
Bake House,"General Hospital Jn, Tc 27/2402, Thiruvananthapuram (Trivandrum) 695031 India",Fast Food,,#372 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.0
Twenty Twenty Juice Bazar,"West Nada, Tc 80/2403 Sp Hospital Road, Thiruvananthapuram (Trivandrum) 695023 India",Cafe,,#267 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Arif Restaurant,"Pattom, Plamoodu Opposite Hdfc Bank, Thiruvananthapuram (Trivandrum) 695004 India",Indian,,#406 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.0
The Forest-High Spirit Restaurant - Park Rajadhani,"Ulloor Gardens Rd Park Ullor, Near Village Office, Thiruvananthapuram (Trivandrum) 695011 India",Indian,http://www.rajadhanihotels.com/restaurant/Park-Ullor,#334 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Khaadu's Food Court,"Ground Floor, Attukal Shopping Complex, Eastfort, Thiruvananthapuram (Trivandrum) 695023 India",Chinese,,#411 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.0
Hi Dine Family Restaurant,"26/1823 G H Road, Thiruvananthapuram (Trivandrum) 695001 India",,,#292 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Trivandrum Chicken Corner,"Belhaven C Street Belhaven Gardens, Thiruvananthapuram (Trivandrum) 695003 India",Indian,,#307 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Tiffany's,"Punnen Road Muthoot Plaza, Thiruvananthapuram (Trivandrum) 695039 India",,,#462 of 907 places to eat in Thiruvananthapuram (Trivandrum),2.0
Sonu's Magic Kitchen,"Opp. Market, Junction, Pettah, Thiruvananthapuram (Trivandrum) 695024 India",Indian,http://fb.me/sonumagic,#454 of 907 places to eat in Thiruvananthapuram (Trivandrum),2.5
Jai Sitha Sweets,"1 Vettakulam Ln, Thiruvananthapuram (Trivandrum) 695036 India",,https://jaisithasweets.business.site/,#262 of 727 Restaurants in Thiruvananthapuram (Trivandrum),5.0
Hotel Murali,"Gandhariammankovil Road, Thiruvananthapuram (Trivandrum) 695001 India",,,#372 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.0
Spr Restaurants,"7/180, Main Road, Balaramapuram Jn., Thiruvananthapuram (Trivandrum) 695501 India",,,#258 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Haji Ali Juice Centre,"Airport Rd 18B, 3rd floor, Mall of Travancore, Thiruvananthapuram (Trivandrum) 695024 India",,,#444 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.0
